Hp pq value
11 1002 5091
11 318 1822
11 1309 6590
11 917 4630
11 1457 7298
11 113 594
11 1367 6856
11 987 4981
11 1041 5257
11 1128 5719
11 697 3524
11 245 1384
11 1953 9805
11 628 3134
11 69 370
11 1116 5632
11 296 1650
11 456 2377
11 1242 6207
11 1841 9197
11 1944 9696
11 729 3635
11 1666 8330
11 782 3875
11 478 2456
11 262 1456
11 769 3778
11 1801 8951
11 898 4450
11 939 4660
11 1642 8141
11 1922 9542
11 572 2834
11 951 4731
11 851 4172
11 1310 6484
11 301 1677
11 1502 7381
11 267 1466
11 1406 6935
11 629 3100
11 1010 4990
11 1682 8319
11 1875 9257
11 1647 8124
11 1764 8689
11 993 4889
11 1246 6126
11 1516 7418
11 1523 7448
11 1075 5323
11 1451 7114
11 1522 7436
11 2 6
11 1505 7342
11 1270 6244
11 1603 7814
11 1539 7472
11 282 1547
11 431 2265
11 1727 8484
11 1983 9688
11 1669 8159
11 234 1318
12 139 772
12 1778 8683
12 1607 7802
12 484 2449
12 1235 6064
12 1901 9268
12 1927 9384
12 1125 5517
12 877 4259
12 835 4055
12 978 4774
12 1795 8735
12 564 2745
12 1234 6016
12 211 1214
12 1340 6515
12 2023 9816
12 1346 6537
12 742 3630
12 735 3604
12 598 2895
12 1518 7324
12 2036 9848
12 131 710
12 990 4796
12 255 1395
12 1933 9327
12 676 3280
12 1549 7436
12 799 3838
12 944 4598
12 1703 8208
12 518 2521
12 1816 8752
12 124 657
12 1022 4938
12 1668 8021
12 7 42
12 1413 6807
12 1792 8632
12 857 4097
12 297 1581
12 776 3719
12 662 3194
12 828 3949
12 1028 4933
12 2033 9710
12 21 118
12 1647 7823
12 2033 9692
12 779 3722
12 138 718
12 1471 7016
12 739 3571
12 1640 7780
12 336 1812
12 242 1318
12 717 3459
12 272 1444
12 1840 8754
12 1536 7297
12 1267 6042
12 1466 6962
12 1295 6171
12 205 1146
12 1622 7620
12 197 1109
12 1160 5519
12 1633 7662
12 1686 7916
12 883 4151
12 1717 8111
12 1227 5849
12 900 4223
12 241 1306
12 1300 6151
12 1161 5508
12 186 1016
12 551 2621
12 700 3331
12 134 708
12 1344 6343
12 81 402
12 873 4076
12 1331 6266
12 1747 8182
12 1244 5888
12 1632 7585
12 318 1642
12 1570 7332
12 1347 6339
12 1120 5291
12 2080 9726
12 2064 9654
12 282 1462
12 165 872
12 1559 7274
12 1916 8923
12 586 2744
12 243 1288
12 1464 6839
12 1478 6895
12 2020 9399
12 1946 9041
12 1617 7470
12 1516 7057
12 301 1544
12 637 2979
12 1742 8073
12 901 4165
12 569 2662
12 1090 5133
12 1475 6860
12 659 3064
12 1987 9209
12 672 3127
12 230 1247
12 282 1449
12 1529 7064
12 1997 9241
12 1095 5133
12 2112 9755
12 976 4532
12 222 1211
12 2044 9409
12 1291 5995
12 1820 8436
12 656 3035
12 242 1270
12 214 1180
12 131 675
12 969 4462
12 961 4427
12 1390 6427
12 752 3503
12 371 1898
12 750 3484
12 275 1399
12 230 1229
12 1741 7910
12 378 1916
12 854 3891
12 667 3043
12 1918 8776
12 1523 6956
12 1877 8605
12 376 1903
12 995 4555
12 1398 6406
12 1157 5319
12 28 148
12 309 1540
12 1105 5075
12 1025 4680
12 2006 9103
12 985 4484
12 1547 7027
12 1678 7539
12 1676 7520
12 1831 8298
12 1107 5071
12 998 4547
12 607 2760
12 2098 9499
12 182 974
12 570 2615
12 1724 7749
12 984 4459
12 892 4014
12 1174 5330
12 500 2369
12 476 2282
12 1227 5573
12 352 1764
12 198 1058
12 557 2529
12 1485 6721
12 2072 9314
12 757 3436
12 696 3128
12 1028 4633
12 791 3584
12 193 1020
12 2167 9708
12 1025 4617
12 1439 6475
12 113 545
12 1791 7996
12 73 367
12 982 4417
12 1401 6294
12 1212 5438
12 2011 8964
12 1206 5406
12 256 1289
12 2230 9939
12 1802 8021
12 1206 5390
12 149 750
12 1878 8387
12 146 720
12 2129 9471
12 134 669
12 1409 6294
12 1723 7587
12 1824 8080
12 1158 5175
12 973 4309
12 1673 7394
12 1112 4964
12 857 3789
12 1886 8379
12 1103 4900
12 222 1161
12 997 4440
12 2153 9517
12 1742 7636
12 1123 4985
12 1718 7514
12 981 4355
12 1292 5754
12 31 160
12 2221 9794
12 1063 4718
12 1256 5567
12 210 1083
12 196 1009
12 2262 9940
12 639 2826
12 362 1759
12 1061 4680
12 791 3546
12 244 1230
12 355 1701
12 1408 6192
12 1174 5170
12 2232 9781
12 1777 7720
12 2163 9479
12 793 3527
12 615 2684
12 2197 9620
12 1889 8259
12 1749 7584
12 1635 7133
12 620 2699
12 777 3454
12 219 1121
12 924 4036
12 188 968
12 1254 5477
12 2247 9790
12 1732 7480
12 347 1623
12 170 860
12 700 3047
12 2086 9058
12 392 1870
12 2148 9340
12 396 1884
12 832 3629
12 77 372
12 1250 5431
12 242 1212
12 448 2073
12 1850 7975
12 1470 6382
12 1901 8207
12 1305 5695
12 479 2213
12 368 1734
12 1093 4731
12 1901 8185
12 1468 6345
12 512 2316
12 1227 5318
12 2101 9044
12 1331 5770
12 1492 6439
12 2193 9432
12 716 3090
12 1925 8268
12 2142 9222
12 119 570
12 2302 9891
12 17 83
12 2326 9970
12 2085 8950
12 421 1953
12 1309 5662
12 168 834
12 415 1934
12 1406 6034
12 608 2617
12 2218 9498
12 1896 8107
12 1623 6945
12 496 2232
12 1470 6314
12 620 2640
12 166 797
12 1025 4401
12 877 3724
12 2109 8982
12 155 746
12 1415 6040
12 1011 4300
12 1442 6143
12 1922 8162
12 1671 7092
12 1305 5575
12 1807 7604
12 367 1712
12 233 1150
12 1064 4526
12 355 1604
12 256 1233
12 173 848
12 1628 6906
12 2256 9538
12 1541 6510
12 971 4092
12 1864 7824
12 600 2544
12 1584 6710
12 1736 7323
12 1660 7004
12 3 7
12 1390 5907
12 2292 9670
12 631 2647
12 1586 6705
12 966 4071
12 651 2723
12 1337 5687
12 238 1170
12 2082 8763
12 1504 6340
12 869 3665
12 777 3277
12 2333 9784
12 1322 5592
12 1732 7233
12 330 1496
12 1605 6742
12 386 1760
12 2257 9452
12 1034 4327
12 618 2608
12 655 2710
12 927 3865
12 2181 9119
12 1624 6803
12 372 1690
12 1925 8015
12 2368 9865
12 1281 5365
12 1198 5019
12 2373 9872
12 275 1272
12 1123 4690
12 599 2519
12 1925 7977
12 1217 5113
12 1252 5243
12 6 17
12 635 2635
12 77 358
12 1529 6357
12 642 2652
12 2417 9988
12 1479 6141
12 1101 4597
12 856 3573
12 965 3989
12 296 1339
12 1284 5333
12 823 3442
12 1361 5667
12 1041 4294
12 1491 6152
12 1418 5884
12 2363 9765
12 2252 9307
12 955 3926
12 1902 7780
12 2224 9172
12 2251 9291
12 2218 9152
12 2196 9044
12 1678 6916
12 39 194
12 1940 7916
12 266 1245
12 372 1659
12 2315 9511
12 276 1262
12 136 647
12 1513 6221
12 1876 7619
12 800 3299
12 621 2561
12 24 112
12 1942 7896
12 1496 6135
12 105 454
12 1356 5588
12 338 1468
12 52 248
12 1882 7607
12 491 2114
12 1570 6400
12 846 3491
12 424 1879
12 475 2060
12 931 3770
12 1473 6012
12 266 1232
12 2314 9413
12 1263 5164
12 60 277
12 1556 6329
12 390 1710
12 1118 4545
12 975 3927
12 825 3369
12 1006 4056
12 1277 5189
12 83 368
12 1643 6629
12 2260 9161
12 907 3668
12 2269 9191
12 1384 5625
12 1978 7916
12 1312 5326
12 1502 6079
12 2447 9856
12 782 3146
12 1567 6327
12 1867 7463
12 1297 5261
12 2254 9080
12 1820 7307
12 1783 7140
12 242 1140
12 1855 7429
12 2364 9504
12 569 2372
12 1704 6842
12 1158 4668
12 2239 9001
12 2376 9524
12 687 2730
12 2471 9898
12 848 3451
12 1515 6100
12 989 3954
12 2152 8640
12 1618 6468
12 1735 6936
12 1040 4153
12 1627 6488
12 1529 6127
12 2449 9779
12 167 757
12 335 1453
12 1456 5858
12 1753 6965
12 1143 4599
12 513 2186
12 1105 4429
12 1556 6212
12 287 1266
12 2042 8088
12 830 3353
12 2197 8758
12 431 1869
12 725 2857
12 1904 7482
12 2193 8711
12 974 3878
12 716 2836
12 2086 8235
12 1672 6608
12 693 2734
12 2038 8038
12 2288 9060
12 767 3041
12 1687 6679
12 436 1881
12 2535 9977
12 1832 7184
12 1188 4721
12 1534 6104
12 1770 6963
12 1378 5478
12 993 3909
12 2326 9174
12 596 2444
12 1225 4860
12 1977 7712
12 809 3225
12 230 1073
12 1344 5330
12 1973 7665
12 171 778
12 1042 4088
12 2432 9534
12 918 3635
12 369 1570
12 1161 4597
12 982 3865
12 1114 4406
12 720 2833
12 1744 6826
12 876 3493
12 1860 7223
12 541 2238
12 1677 6534
12 1003 3902
12 1059 4119
12 1673 6511
12 1919 7439
12 2263 8841
12 2299 8967
12 1119 4402
12 149 671
12 740 2876
12 2557 9928
12 2429 9467
12 1052 4088
12 1987 7640
12 2324 9044
12 1314 5161
12 753 2970
12 783 3061
12 1516 5939
12 1827 7058
12 2301 8947
12 1515 5927
12 1274 4981
12 893 3545
12 1583 6144
12 1468 5739
12 700 2730
12 755 2970
12 2384 9232
12 2581 9953
12 1337 5209
12 1477 5766
12 45 208
12 1454 5680
12 2226 8629
12 2005 7647
12 196 873
12 1019 3948
12 2177 8401
12 367 1545
12 816 3176
12 2169 8330
12 1925 7364
12 1896 7265
12 1539 5970
12 713 2761
12 594 2426
12 1363 5293
12 1497 5822
12 1220 4718
12 577 2351
12 1241 4770
12 142 645
12 953 3684
12 1211 4667
12 813 3141
12 2465 9424
12 1945 7397
12 1590 6112
12 2263 8656
12 962 3702
12 2037 7673
12 174 775
12 1024 3910
12 860 3353
12 2465 9404
12 2093 7909
12 135 579
12 862 3353
12 1651 6311
12 2226 8476
12 751 2881
12 218 993
12 1522 5840
12 32 146
12 855 3315
12 1294 4953
12 2347 8925
12 2259 8608
12 177 776
12 949 3643
12 1934 7312
12 454 1898
12 144 640
12 223 996
12 1740 6565
12 998 3781
12 101 420
12 72 314
12 1653 6245
12 2406 9077
12 1066 4016
12 1040 3918
12 2615 9852
12 1134 4279
12 945 3624
12 1474 5608
12 535 2188
12 132 555
12 1399 5313
12 1284 4851
12 2398 9031
12 2190 8195
12 539 2196
12 284 1223
12 2226 8341
12 1463 5512
12 1646 6177
12 946 3618
12 1105 4120
12 865 3305
12 1948 7261
12 347 1432
12 383 1555
12 1138 4253
12 616 2429
12 1194 4472
12 2161 8035
12 758 2849
12 1286 4786
12 146 632
12 2226 8278
12 1370 5154
12 210 903
12 1200 4482
12 1542 5785
12 1213 4527
12 23 91
12 1163 4326
12 351 1434
12 1451 5404
12 1486 5529
12 115 465
12 2684 9951
12 2104 7726
12 418 1688
12 1251 4645
12 860 3238
12 1141 4217
12 2237 8263
12 997 3710
12 1039 3874
12 460 1877
12 372 1495
12 1466 5429
12 1665 6130
12 63 276
12 2680 9901
12 127 517
12 2567 9477
12 1272 4687
12 269 1150
12 2124 7756
12 1687 6194
12 517 2053
12 575 2238
12 499 1979
12 789 2932
12 2360 8681
12 1720 6305
12 1186 4366
12 110 438
12 455 1835
12 1322 4831
12 98 389
12 1610 5913
12 782 2871
12 1371 5034
12 2494 9151
12 922 3441
12 2634 9650
12 2512 9213
12 2010 7315
12 386 1527
12 171 708
12 747 2745
12 2122 7657
12 231 984
12 716 2646
12 2247 8175
12 1875 6814
12 1007 3686
12 1548 5677
12 1254 4570
12 1719 6232
12 2146 7730
12 861 3160
12 2268 8211
12 161 662
12 2265 8194
12 213 869
12 347 1380
12 2372 8632
12 2494 9056
12 693 2563
12 1481 5373
12 333 1321
12 453 1786
12 1873 6760
12 1892 6824
12 1439 5227
12 1782 6410
12 1669 6037
12 2453 8895
12 1187 4289
12 848 3098
12 422 1640
12 2309 8298
12 110 434
12 154 638
12 776 2825
12 2020 7248
12 170 676
12 2357 8502
12 2274 8170
12 1925 6908
12 701 2584
12 2163 7683
12 385 1472
12 895 3246
12 1629 5877
12 2424 8693
12 236 978
12 213 861
12 1150 4101
12 971 3541
12 1746 6234
12 1512 5422
12 1482 5328
12 2608 9346
12 595 2246
12 140 555
12 557 2108
12 1297 4635
12 2642 9450
12 1802 6397
12 2186 7733
12 2099 7442
12 257 1048
12 2295 8168
12 1241 4433
12 1082 3873
12 1518 5416
12 1422 5109
12 2450 8728
12 2793 9939
12 2354 8370
12 337 1312
12 2163 7622
12 1746 6194
12 226 911
12 969 3499
12 311 1239
12 495 1889
12 179 712
12 1503 5340
12 1532 5431
12 919 3298
12 2018 7114
12 191 759
12 740 2645
12 2640 9360
12 2192 7666
12 272 1105
12 83 347
12 967 3469
12 1090 3855
12 2298 8081
12 2067 7263
12 1391 4903
12 723 2601
12 449 1696
12 2487 8776
12 1239 4369
12 892 3158
12 2153 7504
12 1229 4308
12 2258 7880
12 1463 5169
12 511 1930
12 1163 4074
12 1729 6080
12 470 1781
12 441 1665
12 2285 7969
12 693 2493
12 2008 7005
12 957 3400
12 1647 5792
12 121 471
12 131 511
12 1378 4789
12 1774 6183
12 2348 8178
12 1682 5894
12 1886 6530
12 2301 7999
12 2783 9749
12 1318 4611
12 1502 5262
12 1334 4652
12 2081 7212
12 936 3311
12 2802 9781
12 427 1582
12 803 2821
12 1039 3637
12 1689 5890
12 177 701
12 2532 8806
12 1208 4173
12 284 1127
12 1410 4886
12 1715 5954
12 800 2792
12 824 2856
12 1392 4800
12 1783 6149
12 736 2608
12 151 592
12 1928 6620
12 893 3120
12 467 1733
12 805 2803
12 2237 7650
12 2228 7627
12 2696 9333
12 1629 5649
12 2149 7377
12 71 297
12 2116 7263
12 2434 8381
12 1115 3861
12 149 574
12 1309 4514
12 1583 5443
12 973 3395
12 1309 4504
12 2264 7686
12 118 448
12 950 3310
12 2404 8211
12 2328 7927
12 1324 4549
12 136 517
12 2071 7071
12 1095 3757
12 1542 5317
12 2790 9572
12 1869 6365
12 623 2261
12 1816 6192
12 1698 5837
12 1169 3994
12 1561 5347
12 2865 9839
12 2347 7974
12 267 1033
12 1609 5488
12 464 1703
12 2279 7682
12 2667 9104
12 21 84
12 422 1543
12 2831 9678
12 243 951
12 966 3339
12 2764 9426
12 1604 5455
12 2179 7377
12 1840 6226
12 1489 5117
12 1638 5588
12 132 506
12 1773 6018
12 1797 6105
12 2250 7577
12 2870 9775
12 2313 7775
12 2116 7150
12 712 2493
12 1896 6388
12 2856 9694
12 1379 4682
12 100 383
12 381 1394
12 1331 4522
12 1390 4709
12 682 2427
12 1894 6362
12 1914 6412
12 26 109
12 1618 5466
12 840 2848
12 2386 8004
12 416 1497
12 1126 3799
12 370 1343
12 2169 7275
12 1658 5606
12 2590 8720
12 1023 3501
12 2113 7076
12 175 660
12 1192 4007
12 908 3094
12 916 3118
12 2385 7937
12 2741 9222
12 2165 7245
12 1502 5087
12 478 1715
12 1072 3633
12 297 1133
12 1925 6397
12 93 368
12 736 2527
12 2183 7271
12 1504 5077
12 360 1306
12 1077 3634
12 418 1489
12 2349 7767
12 2721 9100
12 188 690
12 1722 5772
12 162 597
12 1342 4489
12 1022 3467
12 2385 7872
12 1951 6448
12 2558 8540
12 2345 7726
12 1042 3524
12 2759 9200
12 2446 8085
12 2005 6618
12 2608 8670
12 1809 6022
12 617 2192
12 1776 5915
12 2265 7461
12 1180 3907
12 2876 9549
12 2582 8595
12 2017 6657
12 1897 6269
12 2274 7474
12 1187 3928
12 378 1347
12 2654 8781
12 2300 7562
12 2772 9188
12 1994 6548
12 899 3015
12 2981 9878
12 2623 8672
12 3013 9964
12 202 720
12 2570 8492
12 1268 4189
12 2180 7168
12 2133 7032
12 542 1915
12 2141 7044
12 760 2584
12 1932 6352
12 5 14
12 349 1255
12 687 2375
12 629 2207
12 1051 3522
12 2979 9836
12 722 2466
12 2863 9423
12 1458 4783
12 2771 9123
12 1718 5693
12 649 2258
12 2859 9404
12 1015 3392
12 2264 7391
12 2130 6966
12 2719 8932
12 71 291
12 1934 6333
12 2690 8811
12 1603 5316
12 798 2650
12 1783 5883
12 1162 3808
12 2095 6839
12 2870 9403
12 230 840
12 1542 5106
12 1982 6447
12 1026 3424
12 416 1458
12 851 2813
12 280 1031
12 45 185
12 1529 5020
12 1390 4554
12 1966 6374
12 2323 7487
12 1222 3977
12 315 1157
12 896 2962
12 1847 6022
12 2995 9767
12 692 2366
12 2894 9414
12 2215 7158
12 1735 5685
12 2581 8347
12 2311 7450
12 2587 8370
12 1061 3510
12 844 2766
12 280 1020
12 2892 9393
12 2044 6574
12 2450 7859
12 1571 5148
12 1158 3766
12 2875 9317
12 469 1595
12 1075 3542
12 218 776
12 213 760
12 254 926
12 2273 7313
12 1775 5781
12 1693 5480
12 1138 3687
12 2980 9620
12 1785 5809
12 1498 4845
12 2768 8934
12 2555 8184
12 1422 4612
12 372 1301
12 1229 3950
12 2538 8123
12 1015 3338
12 2687 8649
12 559 1925
12 497 1708
12 626 2159
12 1459 4691
12 839 2729
12 2485 7904
12 2396 7617
12 163 588
12 940 3052
12 2440 7735
12 3090 9906
12 276 999
12 2405 7629
12 2201 7034
12 516 1760
12 2667 8555
12 1354 4347
12 1220 3893
12 107 387
12 1366 4387
12 3086 9865
12 778 2549
12 2889 9232
12 2760 8799
12 209 733
12 48 196
12 27 100
12 1468 4683
12 2623 8319
12 1059 3438
12 1027 3333
12 2086 6596
12 447 1499
12 539 1844
12 2425 7639
12 1334 4228
12 1914 6101
12 484 1608
12 1522 4816
12 1733 5505
12 2940 9343
12 303 1074
12 2065 6505
12 2206 6973
12 1402 4460
12 1451 4617
12 556 1880
12 1619 5160
12 1537 4862
12 681 2268
12 3021 9547
12 1493 4727
12 1529 4817
12 1607 5131
12 1098 3526
12 1754 5550
12 498 1679
12 3166 9979
12 2103 6585
12 2021 6351
12 3090 9769
12 1994 6270
12 920 2947
12 370 1268
12 2592 8115
12 166 587
12 547 1848
12 1340 4216
12 655 2195
12 950 3017
12 3087 9721
12 2534 7891
12 1306 4091
12 799 2578
12 1552 4864
12 1566 4904
12 1113 3547
12 973 3096
12 2063 6416
12 2689 8409
12 1711 5364
12 702 2315
12 3028 9488
12 2107 6533
12 2394 7446
12 2987 9367
12 2698 8435
12 2912 9125
12 2983 9346
12 1599 5021
12 1748 5476
12 1747 5467
12 380 1291
12 1529 4776
12 972 3088
12 1837 5758
12 1716 5363
12 1579 4936
12 2034 6326
12 2445 7558
12 2575 7953
12 731 2400
12 1748 5449
12 2705 8397
12 1590 4978
12 2159 6665
12 3101 9653
12 1564 4878
12 1964 6114
12 1947 6069
12 1033 3287
12 445 1478
12 2708 8384
12 2936 9128
12 2599 8012
12 652 2182
12 2743 8495
12 887 2799
12 2498 7659
12 2556 7841
12 2549 7820
12 3066 9488
12 3119 9660
12 1759 5464
12 1368 4264
12 2938 9100
12 345 1222
12 3114 9627
12 1298 4037
12 2460 7549
12 1119 3537
12 2712 8342
12 3225 9949
12 1717 5339
12 980 3091
12 377 1279
12 2719 8356
12 872 2744
12 787 2509
12 1435 4470
12 1665 5165
12 1872 5797
12 703 2301
12 3217 9901
12 1593 4925
12 2182 6665
12 631 2083
12 3175 9772
12 3077 9464
12 1976 6095
12 1283 3965
12 1170 3637
12 1810 5583
12 1158 3625
12 2962 9101
12 3208 9847
12 867 2726
12 2191 6675
12 3090 9474
12 996 3115
12 165 576
12 3049 9363
12 2571 7809
12 2252 6877
12 1523 4702
12 257 901
12 2679 8157
12 978 3059
12 3280 9997
12 189 666
12 1260 3881
12 1678 5163
12 903 2815
12 2028 6182
12 425 1416
12 1340 4092
12 919 2847
12 1121 3500
12 1254 3864
12 712 2312
12 1951 5947
12 2599 7829
12 1952 5949
12 466 1530
12 2589 7807
12 422 1402
12 413 1377
12 2275 6885
12 2676 8077
12 2384 7203
12 2103 6352
12 2853 8654
12 2180 6566
12 1367 4161
12 1822 5531
12 377 1269
12 428 1414
12 10 40
12 198 680
12 429 1412
12 2344 7059
12 1494 4561
12 951 2927
12 3268 9874
12 219 744
12 1427 4343
12 85 319
12 3298 9943
12 1386 4195
12 155 535
12 2849 8607
12 37 142
12 1557 4717
12 267 908
12 520 1672
12 813 2524
12 726 2310
12 998 3049
12 1907 5761
12 2251 6740
12 2217 6604
12 659 2113
12 544 1746
12 1045 3171
12 2097 6274
12 2436 7277
12 239 792
12 1345 4041
12 1215 3670
12 464 1472
12 1818 5453
12 219 729
12 759 2385
12 2808 8380
12 2336 6955
12 3167 9481
12 893 2723
12 1196 3626
12 3151 9425
12 2322 6919
12 1394 4162
12 1459 4384
12 2380 7061
12 1744 5231
12 1762 5293
12 1691 5086
12 2626 7755
12 1325 3955
12 1497 4487
12 1153 3516
12 2380 7047
12 320 1092
12 624 1981
12 2960 8793
12 1430 4263
12 2791 8255
12 771 2423
12 1689 5055
12 2910 8648
12 2046 6093
12 961 2879
12 1382 4101
12 1055 3174
12 1767 5264
12 2980 8833
12 2205 6481
12 1599 4746
12 493 1557
12 29 108
12 156 523
12 1633 4828
12 180 622
12 1660 4907
12 2805 8241
12 1979 5853
12 53 200
12 1102 3327
12 3375 9960
12 149 508
12 2674 7815
12 3321 9828
12 2580 7555
12 1773 5259
12 572 1809
12 901 2701
12 3230 9522
12 2197 6416
12 1724 5124
12 278 929
12 1709 5065
12 2593 7569
12 1289 3808
12 3108 9166
12 2428 7095
12 3081 9072
12 1471 4352
12 1197 3576
12 45 170
12 2010 5909
12 10 36
12 212 693
12 2432 7089
12 2401 7010
12 1908 5601
12 1815 5330
12 3137 9215
12 683 2153
12 1703 5010
12 3129 9175
12 3070 9013
12 3131 9177
12 1831 5355
12 2266 6569
12 1502 4436
12 2467 7164
12 3165 9270
12 87 310
12 3402 9933
12 234 746
12 380 1239
12 1705 4998
12 2862 8315
12 446 1399
12 155 516
12 1855 5410
12 2350 6823
12 1664 4868
12 1829 5338
12 2412 6994
12 2466 7129
12 1848 5375
12 1379 4039
12 1444 4218
12 779 2385
12 3314 9640
12 2028 5901
12 525 1601
12 2822 8146
12 282 911
12 2473 7128
12 2487 7159
12 2235 6440
12 823 2484
12 21 80
12 2513 7228
12 2072 6000
12 1961 5702
12 2629 7538
12 2049 5933
12 2246 6448
12 1750 5129
12 287 931
12 341 1115
12 2281 6528
12 2729 7800
12 986 2877
12 3359 9703
12 904 2668
12 2868 8216
12 1037 3049
12 3393 9798
12 3451 9943
12 2473 7089
12 108 368
12 768 2328
12 1050 3081
12 2183 6269
12 80 281
12 381 1227
12 1202 3532
12 1296 3762
12 2931 8387
12 2203 6324
12 2183 6246
12 2957 8467
12 1210 3552
12 736 2246
12 1447 4170
12 337 1090
12 2869 8180
12 2442 6970
12 2173 6219
12 1905 5463
12 2841 8086
12 3168 9099
12 1113 3263
12 298 963
12 1785 5155
12 753 2284
12 1937 5531
12 2888 8204
12 2957 8434
12 1913 5474
12 543 1645
12 3086 8802
12 1445 4155
12 1641 4727
12 465 1424
12 1537 4436
12 2088 5954
12 425 1308
12 1580 4550
12 218 693
12 2707 7633
12 259 796
12 3211 9161
12 371 1185
12 3295 9395
12 3397 9683
12 3030 8628
12 1372 3927
12 2357 6653
12 375 1199
12 3296 9390
12 341 1091
12 88 299
12 3164 9006
12 2971 8407
12 600 1806
12 2721 7642
12 1378 3938
12 5 10
12 2138 6076
12 3319 9413
12 554 1656
12 1714 4878
12 3504 9920
12 951 2735
12 919 2654
12 225 708
12 3081 8689
12 1394 3963
12 1846 5259
12 3311 9383
12 2836 7948
12 2140 6055
12 1726 4896
12 3229 9133
12 601 1802
12 1605 4579
12 2775 7761
12 2024 5729
12 2711 7584
12 1867 5313
12 500 1472
12 1769 5028
12 660 1964
12 2437 6830
12 1187 3435
12 1326 3770
12 1573 4472
12 2638 7373
12 39 132
12 173 548
12 1101 3138
12 2915 8140
12 597 1778
12 3350 9410
12 284 875
12 259 785
12 37 119
12 3415 9565
12 351 1100
12 1919 5378
12 1877 5300
12 3222 9048
12 2806 7785
12 59 196
12 1605 4533
12 3426 9588
12 364 1127
12 3089 8647
12 569 1669
12 3122 8711
12 1410 3960
12 3400 9493
12 1326 3739
12 2122 5924
12 945 2675
12 1236 3526
12 3477 9694
12 2575 7147
12 2615 7252
12 3520 9826
12 1443 4047
12 127 390
12 2881 7967
12 733 2178
12 3519 9801
12 3175 8842
12 3336 9315
12 2262 6272
12 1701 4759
12 132 415
12 566 1650
12 18 59
12 3402 9463
12 3396 9435
12 76 255
12 1432 3996
12 1937 5375
12 469 1382
12 3231 8995
12 2550 7045
12 2340 6446
12 1046 2955
12 1035 2890
12 57 185
12 3200 8879
12 2010 5566
12 20 64
12 1773 4925
12 966 2713
12 2660 7316
12 360 1104
12 1112 3113
12 1464 4058
12 1964 5423
12 570 1643
12 68 211
12 202 617
12 315 958
12 2373 6483
12 1952 5377
12 472 1373
12 2967 8133
12 625 1788
12 2632 7188
12 2770 7569
12 705 2044
12 2760 7536
12 1055 2944
12 3552 9778
12 2399 6532
12 2318 6341
12 2272 6224
12 3453 9487
12 3353 9232
12 997 2762
12 1707 4719
12 1743 4798
12 1019 2826
12 2188 5996
12 1391 3863
12 2392 6494
12 2605 7100
12 1190 3328
12 183 552
12 3235 8875
12 1803 4971
12 260 764
12 3472 9493
12 2166 5929
12 2663 7247
12 407 1222
12 1321 3654
12 1971 5381
12 1088 3010
12 284 842
12 3393 9302
12 493 1406
12 3076 8379
12 3141 8598
12 397 1185
12 436 1263
12 1806 4940
12 1369 3761
12 2621 7102
12 178 524
12 1051 2875
12 3014 8173
12 1944 5322
12 720 2053
12 1533 4170
12 2045 5537
12 3138 8547
12 2830 7622
12 3259 8866
12 2010 5452
12 2417 6498
12 59 189
12 2296 6216
12 830 2343
12 883 2471
12 1249 3463
12 1294 3565
12 2267 6125
12 1908 5196
12 1069 2927
12 1201 3320
12 1650 4498
12 1592 4334
12 2991 8051
12 3491 9449
12 658 1871
12 3434 9314
12 1610 4389
12 702 1984
12 1014 2768
12 440 1265
12 408 1212
12 316 942
12 1077 2939
12 3562 9617
12 524 1464
12 3150 8476
12 3041 8165
12 3363 9086
12 1366 3694
12 1321 3617
12 690 1936
12 74 236
12 2310 6185
12 1587 4279
12 993 2707
12 3587 9648
12 1562 4196
12 1924 5184
12 405 1197
12 1268 3476
12 3170 8504
12 726 2047
12 2937 7810
12 1078 2907
12 541 1496
12 2255 6033
12 3187 8573
12 799 2237
12 1623 4369
12 477 1342
12 1285 3502
12 2093 5581
12 820 2284
12 2430 6441
12 1941 5199
12 1396 3748
12 450 1270
12 3637 9716
12 3429 9186
12 1853 4964
12 3626 9685
12 379 1123
12 1946 5200
12 2199 5870
12 629 1754
12 1596 4259
12 669 1870
12 831 2303
12 3540 9444
12 1143 3067
12 2171 5779
12 1614 4300
12 533 1467
12 3741 9941
12 1320 3560
12 1103 2963
12 846 2326
12 764 2133
12 1958 5201
12 2546 6695
12 3696 9827
12 1895 5055
12 823 2277
12 760 2111
12 547 1497
12 2845 7476
12 794 2211
12 1039 2767
12 1320 3544
12 2952 7750
12 1545 4083
12 1205 3229
12 1974 5225
12 2141 5636
12 2075 5451
12 2655 6979
12 3738 9895
12 2790 7321
12 2142 5634
12 2160 5691
12 2573 6741
12 2969 7765
12 2426 6344
12 3129 8208
12 2951 7706
12 2389 6256
12 2879 7523
12 11 32
12 3192 8389
12 3432 9076
12 2573 6728
12 3139 8217
12 1569 4132
12 2037 5357
12 2562 6680
12 2144 5629
12 3481 9185
12 1982 5244
12 1799 4748
12 1022 2729
12 1124 2994
12 3355 8831
12 842 2310
12 3150 8219
12 285 819
12 2983 7761
12 568 1550
12 2710 7067
12 518 1434
12 1326 3537
12 3465 9110
12 1719 4527
12 465 1302
12 658 1806
12 3461 9087
12 2052 5361
12 3094 8062
12 2556 6611
12 635 1745
12 1059 2804
12 2178 5687
12 1842 4825
12 2841 7373
